1, gpu_percent:   10% | 825MB
2, gpu_percent:   95% | 1069MB
3, gpu_percent:   95% | 1069MB
4, gpu_percent:   95% | 1069MB
5, gpu_percent:   95% | 1069MB
6, gpu_percent:   95% | 1069MB
7, gpu_percent:   95% | 1069MB
8, gpu_percent:   95% | 1069MB
9, gpu_percent:   95% | 1069MB
10, gpu_percent:   95% | 1069MB
11, gpu_percent:   95% | 1069MB
12, gpu_percent:   95% | 1069MB
13, gpu_percent:   95% | 1069MB
14, gpu_percent:   95% | 1069MB
15, gpu_percent:   95% | 1069MB
16, gpu_percent:   95% | 1069MB
17, gpu_percent:   95% | 1069MB
18, gpu_percent:   95% | 1069MB
19, gpu_percent:   95% | 1069MB
20, gpu_percent:   95% | 1069MB
21, gpu_percent:   95% | 1069MB
22, gpu_percent:   95% | 1069MB
23, gpu_percent:   94% | 1073MB
24, gpu_percent:   95% | 1073MB
25, gpu_percent:   95% | 1073MB
26, gpu_percent:   92% | 1073MB
27, gpu_percent:   92% | 1073MB
28, gpu_percent:   91% | 1073MB
29, gpu_percent:   95% | 1073MB
30, gpu_percent:   95% | 1073MB
31, gpu_percent:   95% | 1073MB
32, gpu_percent:   95% | 1073MB
33, gpu_percent:   95% | 1073MB
34, gpu_percent:   95% | 1073MB
35, gpu_percent:   95% | 1073MB
36, gpu_percent:   95% | 1073MB
37, gpu_percent:   94% | 1073MB
38, gpu_percent:   95% | 1073MB
39, gpu_percent:   95% | 1073MB
40, gpu_percent:   95% | 1073MB
41, gpu_percent:   95% | 1073MB
42, gpu_percent:   95% | 1073MB
43, gpu_percent:   95% | 1073MB
44, gpu_percent:   95% | 1073MB
45, gpu_percent:   95% | 1073MB
46, gpu_percent:   95% | 1073MB
47, gpu_percent:   94% | 1073MB
48, gpu_percent:   95% | 1073MB
49, gpu_percent:   95% | 1073MB
50, gpu_percent:   95% | 1073MB
51, gpu_percent:   95% | 1073MB
52, gpu_percent:   95% | 1073MB
53, gpu_percent:   92% | 1073MB
54, gpu_percent:   93% | 1073MB
55, gpu_percent:   95% | 1073MB
56, gpu_percent:   95% | 1073MB
57, gpu_percent:   95% | 1073MB
58, gpu_percent:   95% | 1073MB
59, gpu_percent:   94% | 1073MB
60, gpu_percent:   95% | 1073MB
61, gpu_percent:   95% | 1073MB
62, gpu_percent:   95% | 1073MB
63, gpu_percent:   95% | 1073MB
64, gpu_percent:   95% | 1073MB
65, gpu_percent:   95% | 1073MB
66, gpu_percent:   95% | 1073MB
67, gpu_percent:   95% | 1073MB
68, gpu_percent:   95% | 1073MB
69, gpu_percent:   95% | 1073MB
70, gpu_percent:   95% | 1073MB
71, gpu_percent:   95% | 1073MB
72, gpu_percent:   95% | 1073MB
73, gpu_percent:   95% | 1073MB
74, gpu_percent:   95% | 1073MB
75, gpu_percent:   95% | 1073MB
76, gpu_percent:   95% | 1073MB
77, gpu_percent:   95% | 1073MB
78, gpu_percent:   94% | 1073MB
79, gpu_percent:   93% | 1073MB
80, gpu_percent:   93% | 1073MB
81, gpu_percent:   92% | 1073MB
82, gpu_percent:   95% | 1073MB
83, gpu_percent:   95% | 1073MB
84, gpu_percent:   94% | 1073MB
85, gpu_percent:   95% | 1073MB
86, gpu_percent:   95% | 1073MB
87, gpu_percent:   95% | 1073MB
88, gpu_percent:   95% | 1073MB
89, gpu_percent:   95% | 1073MB
90, gpu_percent:   95% | 1073MB
91, gpu_percent:   95% | 1073MB
92, gpu_percent:   95% | 1073MB
93, gpu_percent:   95% | 1073MB
94, gpu_percent:   95% | 1073MB
95, gpu_percent:   95% | 1073MB
96, gpu_percent:   95% | 1073MB
97, gpu_percent:   95% | 1073MB
98, gpu_percent:   95% | 1073MB
99, gpu_percent:   95% | 1073MB
100, gpu_percent:   95% | 1073MB
101, gpu_percent:   95% | 1073MB
102, gpu_percent:   95% | 1073MB
103, gpu_percent:   95% | 1073MB
104, gpu_percent:   95% | 1073MB
105, gpu_percent:   95% | 1073MB
106, gpu_percent:   92% | 1073MB
107, gpu_percent:   93% | 1073MB
108, gpu_percent:   92% | 1073MB
109, gpu_percent:   95% | 1073MB
110, gpu_percent:   95% | 1073MB
111, gpu_percent:   95% | 1073MB
112, gpu_percent:   95% | 1073MB
113, gpu_percent:   94% | 1073MB
114, gpu_percent:   94% | 1073MB
115, gpu_percent:   95% | 1073MB
116, gpu_percent:   95% | 1073MB
117, gpu_percent:   95% | 1073MB
118, gpu_percent:   95% | 1073MB
119, gpu_percent:   95% | 1073MB
120, gpu_percent:   95% | 1073MB
121, gpu_percent:   95% | 1073MB
122, gpu_percent:   95% | 1073MB
123, gpu_percent:   95% | 1073MB
124, gpu_percent:   95% | 1073MB
125, gpu_percent:   95% | 1073MB
126, gpu_percent:   95% | 1073MB
127, gpu_percent:   95% | 1073MB
128, gpu_percent:   95% | 1073MB
129, gpu_percent:   94% | 1073MB
130, gpu_percent:   95% | 1073MB
131, gpu_percent:   94% | 1073MB
132, gpu_percent:   95% | 1073MB
133, gpu_percent:   92% | 1073MB
134, gpu_percent:   93% | 1073MB
135, gpu_percent:   95% | 1073MB
136, gpu_percent:   95% | 1073MB
137, gpu_percent:   95% | 1073MB
138, gpu_percent:   95% | 1073MB
139, gpu_percent:   95% | 1073MB
140, gpu_percent:   95% | 1073MB
141, gpu_percent:   95% | 1073MB
142, gpu_percent:   95% | 1073MB
143, gpu_percent:   95% | 1073MB
144, gpu_percent:   95% | 1073MB
145, gpu_percent:   95% | 1073MB
146, gpu_percent:   95% | 1073MB
147, gpu_percent:   95% | 1073MB
148, gpu_percent:   95% | 1073MB
149, gpu_percent:   95% | 1073MB
150, gpu_percent:   95% | 1073MB
151, gpu_percent:   95% | 1073MB
152, gpu_percent:   95% | 1073MB
153, gpu_percent:   95% | 1073MB
154, gpu_percent:   95% | 1073MB
155, gpu_percent:   95% | 1073MB
156, gpu_percent:   95% | 1073MB
157, gpu_percent:   95% | 1073MB
158, gpu_percent:   95% | 1073MB
159, gpu_percent:   95% | 1073MB
160, gpu_percent:   92% | 1073MB
161, gpu_percent:   92% | 1073MB
162, gpu_percent:   95% | 1073MB
163, gpu_percent:   95% | 1073MB
164, gpu_percent:   94% | 1073MB
165, gpu_percent:   95% | 1073MB
166, gpu_percent:   95% | 1073MB
167, gpu_percent:   95% | 1073MB
168, gpu_percent:   95% | 1073MB
169, gpu_percent:   95% | 1073MB
